DATE,TCU
2010-01-01,70.8069
2010-02-01,71.2129
2010-03-01,71.8411
2010-04-01,72.2743
2010-05-01,73.4956
2010-06-01,73.7648
2010-07-01,74.2356
2010-08-01,74.5955
2010-09-01,74.8797
2010-10-01,74.7737
2010-11-01,74.8673
2010-12-01,75.6440
2011-01-01,75.5769
2011-02-01,75.2522
2011-03-01,75.9846
2011-04-01,75.6763
2011-05-01,75.7913
2011-06-01,75.9320
2011-07-01,76.2397
2011-08-01,76.5547
2011-09-01,76.4131
2011-10-01,76.8067
2011-11-01,76.6057
2011-12-01,76.8861
2012-01-01,77.2097
2012-02-01,77.2402
2012-03-01,76.7353
2012-04-01,77.1696
2012-05-01,77.1784
2012-06-01,77.0278
2012-07-01,77.0989
2012-08-01,76.6028
2012-09-01,76.5147
2012-10-01,76.5534
2012-11-01,76.8008
2012-12-01,76.9541
2013-01-01,76.7396
2013-02-01,77.0716
2013-03-01,77.2816
2013-04-01,77.0537
2013-05-01,77.0493
2013-06-01,77.1240
2013-07-01,76.7206
2013-08-01,77.1577
2013-09-01,77.4882
2013-10-01,77.2874
2013-11-01,77.4494
2013-12-01,77.6192
2014-01-01,77.2295
2014-02-01,77.8131
2014-03-01,78.4870
2014-04-01,78.4423
2014-05-01,78.6377
2014-06-01,78.8358
2014-07-01,78.8874
2014-08-01,78.6908
2014-09-01,78.8180
2014-10-01,78.7287
2014-11-01,79.2428
2014-12-01,79.0322
2015-01-01,78.5510
2015-02-01,78.0783
2015-03-01,77.7947
2015-04-01,77.2778
2015-05-01,76.8939
2015-06-01,76.5911
2015-07-01,77.0087
2015-08-01,76.8645
2015-09-01,76.5609
2015-10-01,76.2641
2015-11-01,75.7226
2015-12-01,75.2731
2016-01-01,75.8803
2016-02-01,75.3187
2016-03-01,74.6970
2016-04-01,74.7409
2016-05-01,74.6427
2016-06-01,74.9324
2016-07-01,75.0813
2016-08-01,74.9718
2016-09-01,74.9346
2016-10-01,75.0413
2016-11-01,74.8585
2016-12-01,75.4682
2017-01-01,75.5192
2017-02-01,75.2098
2017-03-01,75.6990
2017-04-01,76.3643
2017-05-01,76.4548
2017-06-01,76.5694
2017-07-01,76.5277
2017-08-01,76.1529
2017-09-01,76.1375
2017-10-01,77.2684
2017-11-01,77.6484
2017-12-01,77.8571
2018-01-01,77.6079
2018-02-01,77.8178
2018-03-01,78.1856
2018-04-01,78.8045
2018-05-01,78.0794
2018-06-01,78.5531
2018-07-01,78.7794
2018-08-01,79.2810
2018-09-01,79.2538
2018-10-01,79.2889
2018-11-01,79.5725
2018-12-01,79.4625
2019-01-01,79.0046
2019-02-01,78.4584
2019-03-01,78.3986
2019-04-01,77.7643
2019-05-01,77.7954
2019-06-01,77.6947
2019-07-01,77.4240
2019-08-01,77.8366
2019-09-01,77.4398
2019-10-01,76.9761
2019-11-01,77.5256
2019-12-01,77.0909
2020-01-01,76.7837
